input;output
0,225616674415643;2,99214974229953
0,302294021449609;2,99214974229953
0,378737562838607;2,98443651241929
0,448412927923396;2,9718306369582
0,507035283484801;2,95833237066792
0,583698518792596;2,95020463733151
0,674389130635349;2,93567056840021
0,162948102095773;2,99334195273535
0,031130788654129;3,00194688944568
0,745271689749851;2,92739965125165
0,813914653776816;2,90210422443925
0,875992137202754;2,87778532034565
0,935970822081815;2,84954618939539
0,970123765183869;2,82020718788816
1,00945507034855;2,77585600207692
1,0406041401025;2,72047624273516
1,06787473020678;2,66414093664709
1,096165533969;2,60351764018485
1,12097106208806;2,52705155650835
1,13332299186127;2,46555502119181
1,15095399010661;2,40658882655545
1,1635535165299;2,33393672187502
1,17033452167609;2,26684279390225
1,18525350272821;2,21046895586472
1,19067849927778;2,13966273676248
1,19610349582736;2,06238657014881
1,20830981824417;1,97310667528404
1,21780348202566;1,902010668562
1,22865347512482;1,80709006109783
1,23950346822397;1,71258600908715
1,2584462155611;1,62040481802887
1,2689604137216;1,53097968735465
1,28940541845384;1,4305239311526
1,29948215310303;1,32994505511208
1,31197969023264;1,22868309196778
1,3249143701525;1,14272082075028
1,34463069666064;1,05068554950055
1,371375304244;0,928314462051425
1,4027145615802;0,831070765635155
1,43570168366791;0,761508056901429
1,47319461577778;0,679546724434697
1,51131519898121;0,621282768877007
1,54144405507721;0,572660920668872
1,5807753602419;0,505169817217199
1,62960032918808;0,456962472465236
1,68559918656589;0,415846374409556
1,73742802886019;0,375352259537835
1,78741881882072;0,342363438819168
1,84817076214974;0,317773671080943
1,9027119423583;0,282857340891168
1,96060529897455;0,240976075839388
2,0155396831896;0,217629362470276
2,07808830583702;0,190632829889727
2,12701430191375;0,16707909279223
2,18505358660745;0,145867368622012
2,2377570352033;0,126584521921107
2,29598650747926;0,10344483228038
2,35325285444406;0,088018372519895
2,4057657947366;0,070456467561115
2,47416116211347;0,047316777920387
2,53220076752823;0,047316777920387
2,59072209595909;0,041531513510654
2,64836849736736;0,02417708827966
2,71095849303014;0,02417708827966
2,76105095156331;0,010264546532915
2,81143398336719;0,006407703593093
2,86248956721153;0,004479738122584
2,92526975045657;-0,00516191322757
2,97874645750237;-0,009018756167392
